Radiación global media diaria (decenas de kilojulios por metro cuadrado);;;;;;;;;;;;;;;;;;;
Indicativo;NOMBRE;ALTITUD;NOM_PROV;LONGITUD;LATITUD;Año;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2013;1561;1797;2062;2445;2561;2928;2826;2511;2111;1837;1377;1218;2103
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2014;1439;1736;2195;2389;2673;2707;2705;2618;2087;1731;1443;1258;2082
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2015;1369;;2125;2458;;;;;;;;;
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;1983;;;;;;2535;2667;2400;2122;1708;1238;1226;
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2004;;1466;2042;1838;;;2700;2421;2087;1574;1216;953;
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2005;1307;1212;;2333;;;;;;;;;
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2006;;;;;;;;;2060;1764;1172;1220;
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2007;;1672;2027;2294;2495;;;;;;1412;1162;
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2008;1233;1520;1962;2366;2703;2867;2795;2497;1812;1760;1276;1033;1985
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2009;1222;1622;1754;2318;2697;2817;2775;2616;1937;1815;1432;1145;2012
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2010;1408;1504;2019;2186;2523;2577;2789;2505;2185;1612;1323;1213;1987
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2011;1289;1703;1929;2073;2344;2761;2626;2617;2263;1690;1343;1221;1988
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2012;1289;1639;2075;2072;2621;2713;2684;2416;2287;1630;1211;1313;1996
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2013;1440;1553;2031;2284;2546;2892;2870;2516;2186;1712;1314;1139;2040
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2014;1371;1629;1946;2309;2572;2776;2713;2676;2109;1664;1201;1140;2009
C649I;GRAN CANARIA/AEROPUERTO;24;LAS PALMAS;1523222;275521;2015;1274;1398;1986;2341;;;;;;;;;
